iter	RMSE
0	2.080209691
1	1.981478035
2	1.885948954
3	1.794047705
4	1.708690595
5	1.626024529
6	1.547393985
7	1.47246975
8	1.401601357
9	1.334993214
10	1.271674232
11	1.21033204
12	1.152043974
13	1.096869931
14	1.04449327
15	0.9947645833
16	0.9478426028
17	0.9027399247
18	0.8597148024
19	0.8187539342
20	0.7797088335
21	0.7428667467
22	0.7075330957
23	0.6737203148
24	0.6418217124
25	0.6112387621
26	0.582166831
27	0.5549445809
28	0.5292390836
29	0.5041794721
30	0.4805472239
31	0.4581898987
32	0.4368667274
33	0.4165001615
34	0.3971201007
35	0.3785625005
36	0.3609464333
37	0.3445525608
38	0.3286187778
39	0.3137610777
40	0.2996281743
41	0.2863756046
42	0.2734917135
43	0.2611114869
44	0.2493320025
45	0.2381025709
46	0.2274798277
47	0.2175177843
48	0.2079863719
49	0.1990102342
50	0.1904591316
51	0.182450299
52	0.1749209527
53	0.1676666185
54	0.1607849345
55	0.1542078515
56	0.1479960456
57	0.1421204183
58	0.1363789304
59	0.1310923906
60	0.1260958504
61	0.1213108955
62	0.1168507058
63	0.1125022216
64	0.1085594847
65	0.1048451788
66	0.1012235919
67	0.09781388322
68	0.09469037649
69	0.09169328653
70	0.08895440272
71	0.0862751034
72	0.08362620636
73	0.0811836868
74	0.07894741644
75	0.07681481426
76	0.07479862749
77	0.07291475761
78	0.07109446122
79	0.06950301091
80	0.06789551993
81	0.06632554562
82	0.0649415522
83	0.06367872011
84	0.06249374806
85	0.06136750026
86	0.06022275005
87	0.05923389131
88	0.05817406536
89	0.05724229778
90	0.05641275851
91	0.05542011261
92	0.05464099535
93	0.05389929933
94	0.05304927306
95	0.05226443441
96	0.05167554083
97	0.0511045159
98	0.0504083766
99	0.04979910721
100	0.04922401045
101	0.04870717745
102	0.04824910289
103	0.04779852851
104	0.04735009323
105	0.04698883343
106	0.04652469316
107	0.04608233955
108	0.04569565174
109	0.04533506903
110	0.04499629455
111	0.04467959127
112	0.04432996246
113	0.04402922613
114	0.04374972418
115	0.04349099183
116	0.04324782296
117	0.04296934596
118	0.04271280965
119	0.04239704154
120	0.0421608203
121	0.041880292
122	0.04167435344
123	0.04147282162
124	0.04122454946
125	0.0410171984
126	0.04075643836
127	0.04058191272
128	0.04033894687
129	0.04016244593
130	0.03993847248
131	0.0397522088
132	0.03951846736
133	0.03935680672
134	0.03914760213
135	0.0389271653
136	0.03877007053
137	0.03863660923
138	0.03844982956
139	0.03827500901
140	0.03813953494
141	0.03797957109
142	0.03779781941
143	0.03766266947
